YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M
2021,12,23,3.1,3.68,0.59,248.59,6.98,0.54,12.66,0.15,6.4,10.31,4.21,43.5,0,91.29,1.93,3.45,0.48,2.97,161.19
2021,12,24,3.3,3.69,0.63,236.38,7.05,0.55,12.05,2.04,7.05,9.65,4.88,51.5,0,91.29,2.11,3.16,1.28,1.88,147
2021,12,25,3.26,3.89,0.62,225.23,7.15,0.55,11.38,3.2,7.3,9.36,5.25,58.31,0,91.43,2.13,3.18,0.62,2.56,156.75
2021,12,26,1.13,3.41,0.22,268.05,2.84,0.23,11.4,3.28,7.33,10.05,5.25,58.75,0.31,91.64,2.52,3.99,1.59,2.41,127.25
2021,12,27,2.95,3.71,0.56,241.66,6.39,0.48,10.11,2.26,6.19,8.93,4.88,60.25,0.01,91.7,2.29,3.34,0.23,3.11,170
2021,12,28,3.31,3.98,0.63,230.67,7.3,0.55,10.8,0.55,5.67,8.88,4.33,50.81,0,91.61,2.12,3.03,0.22,2.81,149.62
2021,12,29,3.31,3.86,0.63,220.45,7.03,0.5,9.9,0.43,5.16,8.22,4.33,53.5,0,91.62,2.5,4.54,1.53,3,175.62
2021,12,30,3.37,4.06,0.64,203.89,7.32,0.56,9.71,0.05,4.88,7.44,4.15,52.75,0,92,2.02,3.41,0.81,2.6,134.62
2021,12,31,3.68,4.1,0.7,212.55,8.03,0.66,10.28,-0.65,4.82,8.3,3.97,48.5,0,91.96,2.24,3.62,1.41,2.2,150.19
2022,1,1,3.6,3.95,0.68,225.88,7.85,0.57,11.29,-1.46,4.91,8.73,3.72,42.81,0,91.86,1.98,3.92,0.54,3.38,139.12
2022,1,2,3.1,3.99,0.59,247.02,7.2,0.55,11.33,-0.58,5.37,8.89,4.03,45.12,0,91.76,2.12,3.69,1.13,2.55,147.19
2022,1,3,3.24,4.03,0.61,252.23,7.51,0.58,13.02,0.25,6.63,10.4,4.27,43.56,0.03,91.6,2.58,5.02,1.21,3.8,167.56
2022,1,4,0.55,3.85,0.1,285.24,1.59,0.13,12.75,3.43,8.09,11.22,5.43,55.31,3.62,91.6,2.46,3.66,0.64,3.02,123.19
2022,1,5,0.52,3.55,0.09,280.16,1.45,0.12,9.19,6.33,7.76,8.14,6.59,82.94,31.03,91.44,4.03,6.53,0.69,5.84,111.44
2022,1,6,2.43,3.65,0.45,278.43,5.56,0.47,10.43,7.3,8.87,9.94,7.02,82.5,1.43,91.45,3.49,5.07,1.51,3.56,144.5
2022,1,7,1.64,3.2,0.3,274.24,3.66,0.3,10.33,8.79,9.56,9.56,7.81,90.62,3.86,91.44,4.89,6.47,2.88,3.59,130.94
2022,1,8,0.7,-999,-999,283.29,-999,-999,11.13,8.95,10.05,10.52,7.87,87.12,23.97,91.3,6.16,9.83,2.08,7.75,138.62
2022,1,9,0.54,-999,-999,272.99,-999,-999,9.32,7.68,8.5,8.78,7.2,90.25,28.96,91.32,2.23,4.02,0.62,3.4,148.81
2022,1,10,2.47,-999,-999,232.96,-999,-999,7.51,4.61,6.06,6.32,5.8,83.06,12.06,91.48,1.99,3.56,0.95,2.61,117.19
